date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:55	112/112	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Mar%202022%2017:37:56%20GMT	https://noticiasdodia.org/robots.txt		(from )
14:37:56	176310/176310	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Mar%202022%2017:37:56%20GMT	https://noticiasdodia.org/	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/index.html	(from )
14:37:56	83369/83369	---MCZ	200	added ('OK')	text/css	etag:W/%2262152b20-145a9%22	https://noticiasdodia.org/wp-includes/css/dist/block-library/style.min.css?ver=5.9.2	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-includes/css/dist/block-library/style.min6dcf.css	(from https://noticiasdodia.org/)
14:37:57	5854/5854	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8e802-16de%22	https://noticiasdodia.org/wp-content/themes/hello-elementor/style.min.css?ver=2.4.2	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/themes/hello-elementor/style.mina305.css	(from https://noticiasdodia.org/)
14:37:57	15164/15164	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8e802-3b3c%22	https://noticiasdodia.org/wp-content/themes/hello-elementor/theme.min.css?ver=2.4.2	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/themes/hello-elementor/theme.mina305.css	(from https://noticiasdodia.org/)
14:37:57	23660/23660	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2017%20Mar%202022%2017:37:57%20GMT	https://noticiasdodia.org/wp-content/plugins/presto-player/dist/	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/presto-player/dist/index.html	(from https://noticiasdodia.org/)
14:37:57	98820/98820	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a737-18204%22	https://noticiasdodia.org/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.5.3	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/elementor/assets/css/frontend-lite.min1aae.css	(from https://noticiasdodia.org/)
14:37:57	1107/1107	---MCZ	200	added ('OK')	text/css	etag:W/%2261dc35aa-466%22	https://noticiasdodia.org/wp-content/uploads/elementor/css/post-6.css?ver=1641821610	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/uploads/elementor/css/post-60a93.css	(from https://noticiasdodia.org/)
14:37:57	1916/1916	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22a4877523e2241c427577fc085e3763c9%22	https://noticiasdodia.org/feed/	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/feed/index.html	(from https://noticiasdodia.org/)
14:37:57	18900/18900	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a737-49d4%22	https://noticiasdodia.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min05c8.css	(from https://noticiasdodia.org/)
14:37:58	127275/127275	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a747-1f12b%22	https://noticiasdodia.org/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.5.2	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min49eb.css	(from https://noticiasdodia.org/)
14:37:58	10485/10485	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a71e-3093%22	https://noticiasdodia.org/wp-content/plugins/ooohboi-steroids-for-elementor/assets/css/main.css?ver=1.8.228112021	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/ooohboi-steroids-for-elementor/assets/css/main85f5.css	(from https://noticiasdodia.org/)
14:37:58	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a737-e7d0%22	https://noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.5.3	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min1aae.css	(from https://noticiasdodia.org/)
14:37:58	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a737-684e%22	https://noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.5.3	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min1aae.css	(from https://noticiasdodia.org/)
14:37:58	1690/1690	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224689145920110c82c76311b0cb4d6d90%22	https://noticiasdodia.org/comments/feed/	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/comments/feed/index.html	(from https://noticiasdodia.org/)
14:37:58	47846/47846	---MCZ	200	added ('OK')	text/css	etag:W/%2261dc35aa-bae6%22	https://noticiasdodia.org/wp-content/uploads/elementor/css/global.css?ver=1641821610	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/uploads/elementor/css/global0a93.css	(from https://noticiasdodia.org/)
14:37:59	131603/131603	---MCZ	200	added ('OK')	text/css	etag:W/%2261dc3d0e-21468%22	https://noticiasdodia.org/wp-content/uploads/elementor/css/post-120.css?ver=1641823502	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/uploads/elementor/css/post-1205c30.css	(from https://noticiasdodia.org/)
14:37:59	24771/24771	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a764-60c3%22	https://noticiasdodia.org/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min.css?ver=3.4.0	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min6b00.css	(from https://noticiasdodia.org/)
14:37:59	30999/30999	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a737-7917%22	https://noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://noticiasdodia.org/)
14:37:59	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a737-e238%22	https://noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://noticiasdodia.org/)
14:38:00	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%2261d8a737-29d%22	https://noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://noticiasdodia.org/)
14:38:00	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%226048e0ac-15db1%22	https://noticiasdodia.org/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-includes/js/jquery/jquery.minaf6c.js	(from https://noticiasdodia.org/)
14:38:00	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fb4e3fe-2bd8%22	https://noticiasdodia.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://noticiasdodia.org/)
14:38:00	15055/15055	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d8a737-3acf%22	https://noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.5.3	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min1aae.js	(from https://noticiasdodia.org/)
14:38:01	249760/249760	---MCZ	200	added ('OK')	application/json	date:Thu,%2017%20Mar%202022%2017:38:01%20GMT	https://noticiasdodia.org/wp-json/	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-json/index.html	(from https://noticiasdodia.org/)
14:38:02	127244/127244	---MCZ	200	added ('OK')	application/json	date:Thu,%2017%20Mar%202022%2017:38:02%20GMT	https://noticiasdodia.org/wp-json/wp/v2/pages/120	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-json/wp/v2/pages/120.json	(from https://noticiasdodia.org/)
14:38:02	816/816	---MCZ	200	added ('OK')	text/xml	date:Thu,%2017%20Mar%202022%2017:38:02%20GMT	https://noticiasdodia.org/xmlrpc.php?rsd	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/xmlrpc0db0.php	(from https://noticiasdodia.org/)
14:38:02	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	https://noticiasdodia.org/wp-includes/wlwmanifest.xml	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-includes/wlwmanifest.xml	(from https://noticiasdodia.org/)
14:38:03	2331/2331	---MCZ	200	added ('OK')	application/json	date:Thu,%2017%20Mar%202022%2017:38:03%20GMT	https://noticiasdodia.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnoticiasdodia.org%2F	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-json/oembed/1.0/embedf723.json	(from https://noticiasdodia.org/)
14:38:04	2403/2403	---MCZ	200	added ('OK')	text/xml	date:Thu,%2017%20Mar%202022%2017:38:04%20GMT	https://noticiasdodia.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnoticiasdodia.org%2F&format=xml	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-json/oembed/1.0/embed64f5	(from https://noticiasdodia.org/)
14:38:04	84320/84320	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Meus%20Sites/Sibutraminne/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://noticiasdodia.org/)
14:38:05	2123/2123	---M--	200	added ('OK')	image/png	etag:%226119bfea-84b%22	https://noticiasdodia.org/wp-content/uploads/2021/08/cropped-favicon2-32x32.png	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/uploads/2021/08/cropped-favicon2-32x32.png	(from https://noticiasdodia.org/)
14:38:05	33316/33316	---M--	200	added ('OK')	image/png	etag:%226119bfea-8224%22	https://noticiasdodia.org/wp-content/uploads/2021/08/cropped-favicon2-192x192.png	C:/Meus%20Sites/Sibutraminne/noticiasdodia.org/wp-content/uploads/2021/08/cropped-favicon2-192x192.png	(from https://noticiasdodia.org/)
